rule,time,reconstruct,kernel,depth,trusted,step_id
equiv_pos2,133639906,128328255,5311651,0,0,t0
poly_simp,39235071,29267311,9967760,0,0,t1
refl,305283,266222,39061,0,0,t2
refl,156822,129768,27054,0,0,t3
poly_simp,39809664,29112071,10697593,0,0,t4
refl,355915,314785,41130,0,0,t5
refl,182173,148256,33917,0,0,t6
poly_simp,41499087,30420452,11078635,0,0,t7
refl,333748,292923,40825,0,0,t8
refl,188330,151797,36533,0,0,t9
poly_simp,42245593,31204114,11041479,0,0,t10
refl,398865,356400,42465,0,0,t11
refl,196562,161503,35059,0,0,t12
poly_simp,43053893,31662853,11391040,0,0,t13
refl,552001,505475,46526,0,0,t14
refl,222202,186748,35454,0,0,t15
poly_simp,47159803,31736105,15423698,0,0,t16
refl,694673,600896,93777,0,0,t17
refl,395697,319872,75825,0,0,t18
poly_simp,42401917,30302540,12099377,0,0,t19
refl,590730,548524,42206,0,0,t20
refl,194398,157835,36563,0,0,t21
poly_simp,42881857,31746866,11134991,0,0,t22
refl,432338,393705,38633,0,0,t23
refl,235485,199199,36286,0,0,t24
poly_simp,41506057,30294629,11211428,0,0,t25
refl,302458,262287,40171,0,0,t26
refl,190132,150748,39384,0,0,t27
poly_simp,41314880,30595162,10719718,0,0,t28
refl,358247,314898,43349,0,0,t29
refl,181717,147598,34119,0,0,t30
poly_simp,42572704,31148125,11424579,0,0,t31
refl,384364,340083,44281,0,0,t32
refl,202209,168313,33896,0,0,t33
poly_simp,41705911,30819743,10886168,0,0,t34
refl,317032,267717,49315,0,0,t35
refl,171929,141332,30597,0,0,t36
poly_simp,42480605,31042460,11438145,0,0,t37
refl,369510,326126,43384,0,0,t38
refl,188575,153217,35358,0,0,t39
poly_simp,40763949,29984954,10778995,0,0,t40
refl,320233,276891,43342,0,0,t41
refl,194419,154712,39707,0,0,t42
poly_simp,42607530,31330154,11277376,0,0,t43
refl,592770,548421,44349,0,0,t44
refl,201250,165291,35959,0,0,t45
poly_simp,41254069,30159386,11094683,0,0,t46
refl,471157,428465,42692,0,0,t47
refl,242613,207538,35075,0,0,t48
poly_simp,41262262,30238388,11023874,0,0,t49
refl,317363,275349,42014,0,0,t50
refl,241546,205373,36173,0,0,t51
poly_simp,44181190,32261130,11920060,0,0,t52
refl,479402,433005,46397,0,0,t53
refl,193210,157881,35329,0,0,t54
poly_simp,41111629,30374143,10737486,0,0,t55
refl,321689,272065,49624,0,0,t56
refl,186724,155175,31549,0,0,t57
poly_simp,42166281,30864964,11301317,0,0,t58
